wsi,total_nuclei,positive_nuclei,negative_nuclei
POST_IHC_PS23-22706_A1_PS23-22706_B1_PS23-24449_A1_cd_HE-CD3.svs,179503,30763,148740
POST_IHC_PS23-18316_A1_PS23-18379_A1_PS23-18656_A1_normal_HE-CD3.svs,243192,41219,201973
POST_IHC_PS23-18001_A1_normal_HE-CD3.svs,89532,15069,74463
POST_IHC_PS23-18669_A1_normal_HE-CD3.svs,56155,9622,46533
POST_IHC_PS23-25749_A1_PS23-28165_A1_cd_HE-CD3.svs,98909,18790,80119
POST_IHC_PS23-20420_A1_PS23-20442_A1_normal_HE-CD3.svs,180894,32713,148181
POST_IHC_PS23-17345_A1_PS23-17706_A1_normal_HE-CD3.svs,173131,31725,141406
POST_IHC_PS23-25204_A1_PS23-17242_A1_normal_HE-CD3.svs,49798,8884,40914
POST_IHC_PS23-15535_A1_non-spec_HE-CD3.svs,78518,14210,64308
